City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Tuktoyaktuk,CA,1600563790,69.45,-133.04,48.2,76,75,12.75
Carnarvon,AU,1600563928,-24.87,113.63,62.6,55,90,14.99
Caravelas,BR,1600563929,-17.71,-39.25,73.36,82,0,9.01
Gushikawa,JP,1600563929,26.35,127.87,82.4,83,20,5.82
Atherton,GB,1600563929,53.52,-2.49,54.0,80,14,1.99
Namatanai,PG,1600563929,-3.67,152.43,84.79,68,34,6.69
Ushuaia,AR,1600563692,-54.8,-68.3,35.6,91,90,26.4
Bataiporã,BR,1600563930,-22.3,-53.27,69.37,89,100,7.81
Port Hardy,CA,1600563781,50.7,-127.42,62.6,77,75,5.82
Meulaboh,ID,1600563930,4.14,96.13,79.41,60,100,2.42
George Town,MY,1600563875,5.41,100.34,82.4,94,40,6.93
Mataura,NZ,1600563930,-46.19,168.86,54.0,65,93,8.01
Vaini,TO,1600563931,-21.2,-175.2,73.4,88,75,13.87
Hilo,US,1600563875,19.73,-155.09,87.8,55,1,11.41
Rikitea,PF,1600563931,-23.12,-134.97,72.97,81,99,19.64
Lebu,CL,1600563931,-37.62,-73.65,50.25,76,0,17.56
Husavik,IS,1600563931,66.04,-17.34,48.2,70,40,24.16
Balaipungut,ID,1600563932,1.05,101.28,78.67,76,100,3.33
Bredasdorp,ZA,1600563932,-34.53,20.04,57.2,71,100,5.82
Itupiranga,BR,1600563932,-5.13,-49.33,84.2,66,20,3.36
Winslow,US,1600563932,35.02,-110.7,89.6,19,1,11.41
Coyhaique,CL,1600563932,-45.58,-72.07,39.2,69,0,3.04
Atuona,PF,1600563933,-9.8,-139.03,77.99,74,8,19.15
Hermanus,ZA,1600563705,-34.42,19.23,51.01,89,91,11.65
Airai,TL,1600563933,-8.93,125.41,74.3,64,0,4.81
Gizo Government Station,SB,1600563933,-8.1,156.84,83.73,68,5,0.72
Champerico,GT,1600563933,14.3,-91.92,75.2,100,90,3.78
Vao,NC,1600563934,-22.67,167.48,68.77,78,1,20.11
Busselton,AU,1600563934,-33.65,115.33,48.99,88,100,5.99
Lhokseumawe,ID,1600563934,5.18,97.15,78.6,76,100,5.37
Velyka Bahachka,UA,1600563934,49.79,33.72,46.49,70,0,6.33
Bluff,NZ,1600563934,-46.6,168.33,54.0,65,9,8.01
Bengkulu,ID,1600563935,-3.8,102.27,79.09,76,100,3.0
Albany,US,1600563902,42.6,-73.97,46.0,58,0,3.4
East London,ZA,1600563935,-33.02,27.91,63.43,74,14,13.44
Lorengau,PG,1600563935,-2.02,147.27,85.19,71,21,10.29
Semnan,IR,1600563935,35.57,53.4,66.34,55,0,8.39
Petropavlovsk-Kamchatskiy,RU,1600563936,53.05,158.65,51.8,87,90,2.24
Saint Paul Harbor,US,1600563936,57.79,-152.41,48.2,81,90,17.22
Torbay,CA,1600563799,47.67,-52.73,48.0,81,75,12.75
Chapais,CA,1600563936,49.78,-74.85,33.8,100,1,2.77
Santa Isabel Rio Negro,BR,1600563937,-0.41,-65.02,76.6,83,0,1.14
Qaanaaq,GL,1600563937,77.48,-69.36,17.51,84,82,7.36
Severo-Kuril'sk,RU,1600563937,50.68,156.12,52.05,76,77,10.71
Ekibastuz,KZ,1600563997,51.67,75.37,54.0,56,20,11.16
Milove,UA,1600563998,49.38,40.13,45.05,86,0,8.21
Punta Arenas,CL,1600563998,-53.15,-70.92,39.2,55,0,20.8
Vila Velha,BR,1600563765,-20.33,-40.29,77.0,78,0,18.34
Khatanga,RU,1600563998,71.97,102.5,47.93,74,100,2.28
Saskylakh,RU,1600563998,71.92,114.08,47.01,71,89,9.75
Pasni,PK,1600563999,25.26,63.47,84.47,36,0,11.77
Flin Flon,CA,1600563999,54.77,-101.86,60.3,65,0,7.23
Narsaq,GL,1600563999,60.92,-46.05,35.6,59,0,6.93
Cabo San Lucas,MX,1600563999,22.89,-109.91,86.0,74,40,8.05
Jamestown,US,1600563842,42.1,-79.24,48.2,61,1,9.17
Thompson,CA,1600564000,55.74,-97.86,59.0,62,5,4.7
